i,j,conditioning_set,conditioning_bins,true_edge,population_ci,tv_lower_bound,model
3,6,5,2,0,1,4.33680868994202e-18,Chain weak
3,6,7,2,0,0,0.000461850451245784,Chain weak
3,6,8,2,0,0,0.000479842767142068,Chain weak
3,7,[],1,0,0,0.000189706147022285,Chain weak
3,7,1,2,0,0,9.47091198222685e-05,Chain weak
3,7,2,2,0,0,9.11578807106551e-05,Chain weak
3,7,4,2,0,1,8.67361737988404e-19,Chain weak
3,7,5,2,0,1,1.73472347597681e-18,Chain weak
3,7,6,2,0,1,6.07153216591882e-18,Chain weak
3,7,8,2,0,0,9.11578807106534e-05,Chain weak
3,8,[],1,0,0,3.74433115171574e-05,Chain weak
3,8,1,2,0,0,1.86932428531397e-05,Chain weak
3,8,2,2,0,0,1.79923158962906e-05,Chain weak
3,8,4,2,0,1,1.73472347597681e-18,Chain weak
3,8,5,2,0,1,1.73472347597681e-18,Chain weak
3,8,6,2,0,1,2.60208521396521e-18,Chain weak
3,8,7,2,0,1,5.20417042793042e-18,Chain weak
4,5,[],1,1,0,0.024671915028113,Chain weak
4,5,1,2,1,0,0.0123352281741942,Chain weak
4,5,2,2,1,0,0.0123172358582979,Chain weak
4,5,3,2,1,0,0.0118553854070521,Chain weak
4,5,6,2,1,0,0.0118553854070521,Chain weak
4,5,7,2,1,0,0.0123172358582979,Chain weak
4,5,8,2,1,0,0.0123352281741942,Chain weak
4,6,[],1,0,0,0.00486962712923544,Chain weak
4,6,1,2,0,0,0.00243466961092885,Chain weak
4,6,2,2,0,0,0.00243111837181723,Chain weak
4,6,3,2,0,0,0.00233996049110657,Chain weak
4,6,5,2,0,1,2.60208521396521e-18,Chain weak
4,6,7,2,0,0,0.00233996049110657,Chain weak
4,6,8,2,0,0,0.00243111837181723,Chain weak
4,7,[],1,0,0,0.000961144214008725,Chain weak
4,7,1,2,0,0,0.000480543694098923,Chain weak
4,7,2,2,0,0,0.000479842767142072,Chain weak
4,7,3,2,0,0,0.000461850451245784,Chain weak
4,7,5,2,0,1,2.60208521396521e-18,Chain weak
4,7,6,2,0,1,8.67361737988404e-19,Chain weak
4,7,8,2,0,0,0.000461850451245785,Chain weak
4,8,[],1,0,0,0.000189706147022285,Chain weak
4,8,1,2,0,0,9.48474655048338e-05,Chain weak
4,8,2,2,0,0,9.47091198222694e-05,Chain weak
4,8,3,2,0,0,9.11578807106525e-05,Chain weak
4,8,5,2,0,1,5.20417042793042e-18,Chain weak
4,8,6,2,0,1,2.60208521396521e-18,Chain weak
4,8,7,2,0,1,1.73472347597681e-18,Chain weak
5,6,[],1,1,0,0.024671915028113,Chain weak
5,6,1,2,1,0,0.0123359291011511,Chain weak
5,6,2,2,1,0,0.0123352281741942,Chain weak
5,6,3,2,1,0,0.0123172358582979,Chain weak
5,6,4,2,1,0,0.0118553854070521,Chain weak
5,6,7,2,1,0,0.0118553854070522,Chain weak
5,6,8,2,1,0,0.0123172358582979,Chain weak
5,7,[],1,0,0,0.00486962712923545,Chain weak
5,7,1,2,0,0,0.00243480795661141,Chain weak
5,7,2,2,0,0,0.00243466961092885,Chain weak
5,7,3,2,0,0,0.00243111837181723,Chain weak
5,7,4,2,0,0,0.00233996049110657,Chain weak
5,7,6,2,0,1,8.67361737988404e-19,Chain weak
5,7,8,2,0,0,0.00233996049110657,Chain weak
5,8,[],1,0,0,0.000961144214008725,Chain weak
5,8,1,2,0,0,0.00048057100012232,Chain weak
5,8,2,2,0,0,0.00048054369409892,Chain weak
5,8,3,2,0,0,0.000479842767142068,Chain weak
5,8,4,2,0,0,0.000461850451245784,Chain weak
5,8,6,2,0,1,3.46944695195361e-18,Chain weak
5,8,7,2,0,1,5.20417042793042e-18,Chain weak
6,7,[],1,1,0,0.024671915028113,Chain weak
6,7,1,2,1,0,0.0123359564071745,Chain weak
6,7,2,2,1,0,0.0123359291011511,Chain weak
6,7,3,2,1,0,0.0123352281741942,Chain weak
6,7,4,2,1,0,0.0123172358582979,Chain weak
6,7,5,2,1,0,0.0118553854070521,Chain weak
6,7,8,2,1,0,0.0118553854070521,Chain weak
6,8,[],1,0,0,0.00486962712923544,Chain weak
6,8,1,2,0,0,0.00243481334614652,Chain weak
6,8,2,2,0,0,0.00243480795661141,Chain weak
6,8,3,2,0,0,0.00243466961092884,Chain weak
6,8,4,2,0,0,0.00243111837181723,Chain weak
6,8,5,2,0,0,0.00233996049110657,Chain weak
6,8,7,2,0,1,2.60208521396521e-18,Chain weak
7,8,[],1,1,0,0.024671915028113,Chain weak
7,8,1,2,1,0,0.0123359574709357,Chain weak
7,8,2,2,1,0,0.0123359564071745,Chain weak
7,8,3,2,1,0,0.0123359291011511,Chain weak
7,8,4,2,1,0,0.0123352281741942,Chain weak
7,8,5,2,1,0,0.0123172358582979,Chain weak
7,8,6,2,1,0,0.0118553854070521,Chain weak
1,2,[],1,1,0,0.047493620281903,Chain strong
1,2,3,2,1,0,0.020318691802304,Chain strong
1,2,4,2,1,0,0.023251922816127,Chain strong
1,2,5,2,1,0,0.0236753676059868,Chain strong
1,2,6,2,1,0,0.0237364966098786,Chain strong
1,2,7,2,1,0,0.0237453212670861,Chain strong
1,2,8,2,1,0,0.0237465952053129,Chain strong
1,3,[],1,0,0,0.0180451517398527,Chain strong
1,3,2,2,0,1,6.07153216591882e-18,Chain strong
1,3,4,2,0,0,0.00772006586466914,Chain strong
1,3,5,2,0,0,0.00883454394442604,Chain strong
1,3,6,2,0,0,0.00899543135290566,Chain strong
1,3,7,2,0,0,0.00901865725449803,Chain strong
1,3,8,2,0,0,0.00902201017384626,Chain strong
1,4,[],1,0,0,0.00685623667729512,Chain strong
1,4,2,2,0,1,9.54097911787244e-18,Chain strong
1,4,3,2,0,1,4.33680868994202e-18,Chain strong
1,4,5,2,0,0,0.00293323101382302,Chain strong
1,4,6,2,0,0,0.00335667580368285,Chain strong
1,4,7,2,0,0,0.00341780480757462,Chain strong
1,4,8,2,0,0,0.00342662946478208,Chain strong
1,5,[],1,0,0,0.00260502001051446,Chain strong
1,5,2,2,0,1,1.64798730217797e-17,Chain strong
1,5,3,2,0,1,7.80625564189563e-18,Chain strong
1,5,4,2,0,1,1.21430643318376e-17,Chain strong
1,5,6,2,0,0,0.0011144780797569,Chain strong
1,5,7,2,0,0,0.00127536548823652,Chain strong
1,5,8,2,0,0,0.0012985913898289,Chain strong
1,6,[],1,0,0,0.000989774649649073,Chain strong
1,6,2,2,0,1,6.07153216591882e-18,Chain strong
1,6,3,2,0,1,3.46944695195361e-18,Chain strong
1,6,4,2,0,1,5.20417042793042e-18,Chain strong
1,6,5,2,0,1,7.80625564189563e-18,Chain strong
1,6,7,2,0,0,0.000423444789859831,Chain strong
1,6,8,2,0,0,0.000484573793751593,Chain strong
1,7,[],1,0,0,0.000376063851000717,Chain strong
1,7,2,2,0,1,1.73472347597681e-18,Chain strong
1,7,3,2,0,1,3.46944695195361e-18,Chain strong
1,7,4,2,0,1,4.33680868994202e-18,Chain strong
1,7,5,2,0,1,5.20417042793042e-18,Chain strong
